ip,City,Region,Country,Latitude,Longitude
115.60.47.0,Zhengzhou,Henan,China,34.7599,113.6459
54.222.209.0,Beijing,Beijing,China,39.9288,116.3889
140.179.33.0,Beijing,Beijing,China,39.9288,116.3889
140.179.26.0,Beijing,Beijing,China,39.9288,116.3889
54.222.170.0,Beijing,Beijing,China,39.9288,116.3889
52.80.150.0,Beijing,Beijing,China,39.9288,116.3889
54.223.246.0,Beijing,Beijing,China,39.9288,116.3889
54.222.148.0,Beijing,Beijing,China,39.9288,116.3889
52.80.103.0,Beijing,Beijing,China,39.9288,116.3889
223.104.231.0,Shenzhen,Guangdong,China,22.5431,114.058
120.221.100.0,Weifang,Shandong,China,36.7069,119.162
124.152.132.0,Lanzhou,Gansu,China,36.0611,103.834
52.80.110.0,Beijing,Beijing,China,39.9288,116.3889
54.222.212.0,Beijing,Beijing,China,39.9288,116.3889
120.233.34.0,Shenzhen,Guangdong,China,22.5431,114.058
115.60.40.0,Zhengzhou,Henan,China,34.7599,113.6459
157.148.40.0,Shenzhen,Guangdong,China,22.5431,114.058
157.255.11.0,Xiaolou,Guangdong,China,23.379,113.763
120.233.19.0,Shenzhen,Guangdong,China,22.5431,114.058
112.60.24.0,Shenzhen,Guangdong,China,22.5431,114.058
112.60.22.0,Shenzhen,Guangdong,China,22.5431,114.058
183.47.98.0,Xiaolou,Guangdong,China,23.379,113.763
140.207.118.0,Jinrongjie,Beijing,China,39.9175,116.362
117.131.28.0,Shanghai,Shanghai,China,31.2222,121.4581
114.221.234.0,Nanjing,Jiangsu,China,32.0589,118.7738
1.48.209.0,Bibo,Guizhou,China,26.843,107.29
27.115.124.0,Shanghai,Shanghai,China,31.2222,121.4581
36.249.208.0,Xiamen,Fujian,China,24.4798,118.089
118.126.124.0,Shenzhen,Guangdong,China,22.5431,114.058
180.110.155.0,Nanjing,Jiangsu,China,32.0589,118.7738
180.104.158.0,Nanjing,Jiangsu,China,32.0607,118.763
123.180.225.0,Hengshui,Hebei,China,37.7311,115.704
54.223.172.0,Beijing,Beijing,China,39.9288,116.3889
54.223.152.0,Beijing,Beijing,China,39.9288,116.3889
